-1.927933706906634903e+00,2.367932589443916047e+00,-3.342360613086428067e-01,-2.969138029484431063e-01
1.649407514882632597e+00,-4.150568293193724889e-01,1.214477671516661417e+00,1.045556559807299564e-02
1.364969412244866898e-01,-2.071078472599437337e+00,-1.636930961860809219e+00,-4.506788394149273125e-01
1.068137003847327682e+00,1.109496285477756361e+00,-3.273907373151090372e-01,-5.833341343424680581e-02
-2.161669404014850304e+00,-1.506396749031738036e+00,3.388328163752976074e-01,2.644211306634512981e-01
-6.019543392896138378e-01,-7.983560072717935663e-01,4.608303960150451073e-01,1.308900626767531605e+00
-3.816697706157790027e-01,-6.114651749708989170e-01,1.949432345549215739e-01,-1.183408751111781454e+00
-4.983587578575290333e-01,1.230484902113184065e+00,-7.976132921789167440e-01,4.534353317165158992e-01
2.360034121549085206e+00,3.705758591396216550e-01,-8.513319261851034492e-01,3.420969076958460531e-01
3.575103971808748504e-01,3.238635970187622171e-01,1.738418860386655718e+00,-3.899747555320198233e-01
